ndc_description,ndc,nadac_per_unit,effective_date,Brand
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3349.47125,2025-05-21,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3362.63146,2025-05-21,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3362.27043,2025-05-21,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6730.46167,2025-05-21,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6715.10533,2025-05-21,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3363.3813,2025-05-21,Humira (AbbVie)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
ADALIMUMAB-ADAZ(CF) PEN 40 MG/0.4 ML,61314032720,1589.56516,2025-05-21,Unbranded Adalimumab
CYLTEZO(CF) PEN 40 MG/0.8 ML,00597037597,3204.67,2025-05-21,Cyltezo (Boehringer)
HADLIMA PUSHTOUCH 40 MG/0.8 ML,78206018401,630.5475,2025-05-21,Hadlima (Organon)
HADLIMA(CF) 40 MG/0.4 ML SYRINGE,78206018601,1259.07679,2025-05-21,Hadlima (Organon)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3362.27043,2025-05-21,Humira (AbbVie)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
YUSIMRY(CF) 40 MG/0.8 ML PEN,70114022002,604.1525,2025-05-21,Yusimry (Coherus)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3362.13485,2025-06-18,Humira (AbbVie)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3374.775,2025-06-18,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3363.14547,2025-06-18,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3363.73101,2025-06-18,Humira (AbbVie)
HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,78206018701,1260.27961,2025-06-18,Hadlima (Organon)
HADLIMA PUSHTOUCH 40 MG/0.8 ML,78206018401,630.5475,2025-06-18,Hadlima (Organon)
CYLTEZO(CF) PEN 40 MG/0.8 ML,00597037597,3204.67,2025-06-18,Cyltezo (Boehringer)
ADALIMUMAB-ADAZ(CF) PEN 40 MG/0.4 ML,61314032720,1591.81256,2025-06-18,Unbranded Adalimumab
ADALIMUMAB-AACF(CF) PEN 40 MG/0.8 ML (2 PACK),65219061299,871.45,2025-06-18,Unbranded Adalimumab
HADLIMA(CF) 40 MG/0.4 ML SYRINGE,78206018601,1259.7,2025-06-18,Hadlima (Organon)
HADLIMA(CF) 40 MG/0.4 ML SYRINGE,78206018601,1259.7,2025-06-18,Hadlima (Organon)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3362.69736,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6730.9425,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6722.48333,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6722.48333,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6730.9425,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3362.69736,2025-06-18,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3362.13485,2025-06-18,Humira (AbbVie)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3374.775,2025-06-18,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3363.14547,2025-06-18,Humira (AbbVie)
CYLTEZO(CF) PEN 40 MG/0.8 ML,00597037597,3204.67,2025-06-18,Cyltezo (Boehringer)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3363.73101,2025-06-18,Humira (AbbVie)
HADLIMA(CF) 40 MG/0.4 ML SYRINGE,78206018601,1259.7,2025-06-18,Hadlima (Organon)
HADLIMA PUSHTOUCH 40 MG/0.8 ML,78206018401,630.5475,2025-06-18,Hadlima (Organon)
CYLTEZO(CF) PEN 40 MG/0.8 ML,00597037597,3204.67,2025-06-18,Cyltezo (Boehringer)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6722.48333,2025-06-18,Humira (AbbVie)
ADALIMUMAB-AACF(CF) PEN 40 MG/0.8 ML (2 PACK),65219061299,871.45,2025-06-18,Unbranded Adalimumab
HADLIMA PUSHTOUCH 40 MG/0.8 ML,78206018401,630.5475,2025-06-18,Hadlima (Organon)
HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,78206018701,1260.27961,2025-06-18,Hadlima (Organon)
ADALIMUMAB-ADAZ(CF) PEN 40 MG/0.4 ML,61314032720,1591.81256,2025-06-18,Unbranded Adalimumab
HUMIRA PEN 40 MG/0.8 ML,00074433902,3363.14547,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3362.69736,2025-06-18,Humira (AbbVie)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3374.775,2025-06-18,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3362.13485,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3362.69736,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6730.9425,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6722.48333,2025-06-18,Humira (AbbVie)
ADALIMUMAB-AACF(CF) PEN 40 MG/0.8 ML (2 PACK),65219061299,871.45,2025-06-18,Unbranded Adalimumab
HUMIRA PEN 40 MG/0.8 ML,00074433902,3363.14547,2025-06-18,Humira (AbbVie)
ADALIMUMAB-ADAZ(CF) PEN 40 MG/0.4 ML,61314032720,1591.81256,2025-06-18,Unbranded Adalimumab
CYLTEZO(CF) PEN 40 MG/0.8 ML,00597037597,3204.67,2025-06-18,Cyltezo (Boehringer)
HADLIMA PUSHTOUCH 40 MG/0.8 ML,78206018401,630.5475,2025-06-18,Hadlima (Organon)
HADLIMA(CF) 40 MG/0.4 ML SYRINGE,78206018601,1259.7,2025-06-18,Hadlima (Organon)
HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,78206018701,1260.27961,2025-06-18,Hadlima (Organon)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3363.73101,2025-06-18,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3363.14547,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6730.9425,2025-06-18,Humira (AbbVie)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3374.775,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3362.69736,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6730.9425,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6722.48333,2025-06-18,Humira (AbbVie)
ADALIMUMAB-ADAZ(CF) PEN 40 MG/0.4 ML,61314032720,1591.81256,2025-06-18,Unbranded Adalimumab
ADALIMUMAB-AACF(CF) PEN 40 MG/0.8 ML (2 PACK),65219061299,871.45,2025-06-18,Unbranded Adalimumab
ADALIMUMAB-ADAZ(CF) PEN 40 MG/0.4 ML,61314032720,1591.81256,2025-06-18,Unbranded Adalimumab
CYLTEZO(CF) PEN 40 MG/0.8 ML,00597037597,3204.67,2025-06-18,Cyltezo (Boehringer)
HADLIMA PUSHTOUCH 40 MG/0.8 ML,78206018401,630.5475,2025-06-18,Hadlima (Organon)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3363.73101,2025-06-18,Humira (AbbVie)
HADLIMA(CF) 40 MG/0.4 ML SYRINGE,78206018601,1259.7,2025-06-18,Hadlima (Organon)
HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,78206018701,1260.27961,2025-06-18,Hadlima (Organon)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3363.73101,2025-06-18,Humira (AbbVie)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3374.775,2025-06-18,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3362.13485,2025-06-18,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3362.13485,2025-06-18,Humira (AbbVie)
HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,78206018701,1260.27961,2025-06-18,Hadlima (Organon)
ADALIMUMAB-AACF(CF) PEN 40 MG/0.8 ML (2 PACK),65219061299,871.45,2025-06-18,Unbranded Adalimumab
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6730.9425,2025-06-18,Humira (AbbVie)
HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,78206018701,1260.27961,2025-06-18,Hadlima (Organon)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3363.73101,2025-06-18,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3363.14547,2025-06-18,Humira (AbbVie)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3374.775,2025-06-18,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3362.13485,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3362.69736,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6722.48333,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6730.9425,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3362.69736,2025-06-18,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3362.13485,2025-06-18,Humira (AbbVie)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3374.775,2025-06-18,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3363.14547,2025-06-18,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3363.73101,2025-06-18,Humira (AbbVie)
HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,78206018701,1260.27961,2025-06-18,Hadlima (Organon)
HADLIMA(CF) 40 MG/0.4 ML SYRINGE,78206018601,1259.7,2025-06-18,Hadlima (Organon)
HADLIMA PUSHTOUCH 40 MG/0.8 ML,78206018401,630.5475,2025-06-18,Hadlima (Organon)
CYLTEZO(CF) PEN 40 MG/0.8 ML,00597037597,3204.67,2025-06-18,Cyltezo (Boehringer)
ADALIMUMAB-ADAZ(CF) PEN 40 MG/0.4 ML,61314032720,1591.81256,2025-06-18,Unbranded Adalimumab
CYLTEZO(CF) PEN 40 MG/0.8 ML,00597037597,3204.67,2025-06-18,Cyltezo (Boehringer)
HADLIMA PUSHTOUCH 40 MG/0.8 ML,78206018401,630.5475,2025-06-18,Hadlima (Organon)
HADLIMA(CF) 40 MG/0.4 ML SYRINGE,78206018601,1259.7,2025-06-18,Hadlima (Organon)
HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,78206018701,1260.27961,2025-06-18,Hadlima (Organon)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3363.73101,2025-06-18,Humira (AbbVie)
HADLIMA(CF) 40 MG/0.4 ML SYRINGE,78206018601,1259.7,2025-06-18,Hadlima (Organon)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3363.14547,2025-06-18,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3362.13485,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3362.69736,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6730.9425,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6722.48333,2025-06-18,Humira (AbbVie)
ADALIMUMAB-AACF(CF) PEN 40 MG/0.8 ML (2 PACK),65219061299,871.45,2025-06-18,Unbranded Adalimumab
ADALIMUMAB-ADAZ(CF) PEN 40 MG/0.4 ML,61314032720,1591.81256,2025-06-18,Unbranded Adalimumab
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3374.775,2025-06-18,Humira (AbbVie)
HADLIMA PUSHTOUCH 40 MG/0.8 ML,78206018401,630.5475,2025-06-18,Hadlima (Organon)
CYLTEZO(CF) PEN 40 MG/0.8 ML,00597037597,3204.67,2025-06-18,Cyltezo (Boehringer)
ADALIMUMAB-ADAZ(CF) PEN 40 MG/0.4 ML,61314032720,1591.81256,2025-06-18,Unbranded Adalimumab
ADALIMUMAB-AACF(CF) PEN 40 MG/0.8 ML (2 PACK),65219061299,871.45,2025-06-18,Unbranded Adalimumab
ADALIMUMAB-ADAZ(CF) PEN 40 MG/0.4 ML,61314032720,1591.81256,2025-06-18,Unbranded Adalimumab
CYLTEZO(CF) PEN 40 MG/0.8 ML,00597037597,3204.67,2025-06-18,Cyltezo (Boehringer)
HADLIMA PUSHTOUCH 40 MG/0.8 ML,78206018401,630.5475,2025-06-18,Hadlima (Organon)
HADLIMA(CF) 40 MG/0.4 ML SYRINGE,78206018601,1259.7,2025-06-18,Hadlima (Organon)
HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,78206018701,1260.27961,2025-06-18,Hadlima (Organon)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3363.73101,2025-06-18,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3363.14547,2025-06-18,Humira (AbbVie)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3374.775,2025-06-18,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3362.13485,2025-06-18,Humira (AbbVie)
ADALIMUMAB-AACF(CF) PEN 40 MG/0.8 ML (2 PACK),65219061299,871.45,2025-06-18,Unbranded Adalimumab
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6730.9425,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6722.48333,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3362.69736,2025-06-18,Humira (AbbVie)
ADALIMUMAB-ADAZ(CF) PEN 40 MG/0.4 ML,61314032720,1591.81256,2025-06-18,Unbranded Adalimumab
ADALIMUMAB-AACF(CF) PEN 40 MG/0.8 ML (2 PACK),65219061299,871.45,2025-06-18,Unbranded Adalimumab
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6722.48333,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6730.9425,2025-06-18,Humira (AbbVie)
ADALIMUMAB-AACF(CF) PEN 40 MG/0.8 ML (2 PACK),65219061299,871.45,2025-06-18,Unbranded Adalimumab
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3362.13485,2025-06-18,Humira (AbbVie)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3374.775,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3362.69736,2025-06-18,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3363.73101,2025-06-18,Humira (AbbVie)
HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,78206018701,1260.27961,2025-06-18,Hadlima (Organon)
HADLIMA(CF) 40 MG/0.4 ML SYRINGE,78206018601,1259.7,2025-06-18,Hadlima (Organon)
HADLIMA PUSHTOUCH 40 MG/0.8 ML,78206018401,630.5475,2025-06-18,Hadlima (Organon)
CYLTEZO(CF) PEN 40 MG/0.8 ML,00597037597,3204.67,2025-06-18,Cyltezo (Boehringer)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3363.14547,2025-06-18,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6722.48333,2025-06-18,Humira (AbbVie)
HADLIMA PUSHTOUCH 40 MG/0.8 ML,78206018401,630.5475,2025-07-23,Hadlima (Organon)
HADLIMA(CF) 40 MG/0.4 ML SYRINGE,78206018601,1259.7,2025-07-23,Hadlima (Organon)
HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,78206018701,1260.17102,2025-07-23,Hadlima (Organon)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3365.38239,2025-07-23,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3364.21216,2025-07-23,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6732.57343,2025-07-23,Humira (AbbVie)
ADALIMUMAB-AACF(CF) PEN 40 MG/0.8 ML (2 PACK),65219061299,871.45,2025-07-23,Unbranded Adalimumab
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3363.15468,2025-07-23,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6732.57343,2025-07-23,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6735.73524,2025-07-23,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6735.73524,2025-07-23,Humira (AbbVie)
ADALIMUMAB-AACF(CF) PEN 40 MG/0.8 ML (2 PACK),65219061299,871.45,2025-07-23,Unbranded Adalimumab
ADALIMUMAB-ADAZ(CF) PEN 40 MG/0.4 ML,61314032720,1592.95469,2025-07-23,Unbranded Adalimumab
CYLTEZO(CF) PEN 40 MG/0.8 ML,00597037597,3204.67,2025-07-23,Cyltezo (Boehringer)
HADLIMA PUSHTOUCH 40 MG/0.8 ML,78206018401,630.5475,2025-07-23,Hadlima (Organon)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3363.78949,2025-07-23,Humira (AbbVie)
HADLIMA(CF) 40 MG/0.4 ML SYRINGE,78206018601,1259.7,2025-07-23,Hadlima (Organon)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3365.38239,2025-07-23,Humira (AbbVie)
ADALIMUMAB-ADAZ(CF) PEN 40 MG/0.4 ML,61314032720,1592.95469,2025-07-23,Unbranded Adalimumab
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3374.775,2025-07-23,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3363.78949,2025-07-23,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3363.15468,2025-07-23,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6732.57343,2025-07-23,Humira (AbbVie)
ADALIMUMAB-AACF(CF) PEN 40 MG/0.8 ML (2 PACK),65219061299,871.45,2025-07-23,Unbranded Adalimumab
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6735.73524,2025-07-23,Humira (AbbVie)
HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,78206018701,1260.17102,2025-07-23,Hadlima (Organon)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3374.775,2025-07-23,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3364.21216,2025-07-23,Humira (AbbVie)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3365.38239,2025-07-23,Humira (AbbVie)
ADALIMUMAB-ADAZ(CF) PEN 40 MG/0.4 ML,61314032720,1592.95469,2025-07-23,Unbranded Adalimumab
CYLTEZO(CF) PEN 40 MG/0.8 ML,00597037597,3204.67,2025-07-23,Cyltezo (Boehringer)
HADLIMA PUSHTOUCH 40 MG/0.8 ML,78206018401,630.5475,2025-07-23,Hadlima (Organon)
HADLIMA(CF) 40 MG/0.4 ML SYRINGE,78206018601,1259.7,2025-07-23,Hadlima (Organon)
HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,78206018701,1260.17102,2025-07-23,Hadlima (Organon)
HUMIRA 40 MG/0.8 ML SYRINGE,00074379902,3365.38239,2025-07-23,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3364.21216,2025-07-23,Humira (AbbVie)
HUMIRA(CF) 20 MG/0.2 ML SYRINGE,00074061602,3374.775,2025-07-23,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3363.78949,2025-07-23,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3363.15468,2025-07-23,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6732.57343,2025-07-23,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6735.73524,2025-07-23,Humira (AbbVie)
ADALIMUMAB-AACF(CF) PEN 40 MG/0.8 ML (2 PACK),65219061299,871.45,2025-07-23,Unbranded Adalimumab
ADALIMUMAB-ADAZ(CF) PEN 40 MG/0.4 ML,61314032720,1592.95469,2025-07-23,Unbranded Adalimumab
CYLTEZO(CF) PEN 40 MG/0.8 ML,00597037597,3204.67,2025-07-23,Cyltezo (Boehringer)
HADLIMA PUSHTOUCH 40 MG/0.8 ML,78206018401,630.5475,2025-07-23,Hadlima (Organon)
HADLIMA(CF) 40 MG/0.4 ML SYRINGE,78206018601,1259.7,2025-07-23,Hadlima (Organon)
HADLIMA(CF) PUSHTOUCH 40 MG/0.4 ML,78206018701,1260.17102,2025-07-23,Hadlima (Organon)
CYLTEZO(CF) PEN 40 MG/0.8 ML,00597037597,3204.67,2025-07-23,Cyltezo (Boehringer)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3363.15468,2025-07-23,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3364.21216,2025-07-23,Humira (AbbVie)
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3363.78949,2025-07-23,Humira (AbbVie)
ADALIMUMAB-AACF(CF) PEN 40 MG/0.8 ML (2 PACK),65219061299,871.45,2025-07-23,Unbranded Adalimumab
HUMIRA(CF) 40 MG/0.4 ML SYRINGE,00074024302,3363.78949,2025-07-23,Humira (AbbVie)
HUMIRA(CF) PEN 40 MG/0.4 ML,00074055402,3363.15468,2025-07-23,Humira (AbbVie)
HUMIRA(CF) PEN 80 MG/0.8 ML,00074012402,6732.57343,2025-07-23,Humira (AbbVie)
HUMIRA(CF) PEN CROHN'S-UC-HS STARTER 80 MG/0.8 ML,00074012403,6735.73524,2025-07-23,Humira (AbbVie)
HUMIRA PEN 40 MG/0.8 ML,00074433902,3364.21216,2025-07-23,Humira (AbbVie)
ADALIMUMAB-ADAZ(CF) PEN 40 MG/0.4 ML,61314032720,1592.95469,2025-07-23,Unbranded Adalimumab
CYLTEZO(CF) PEN 40 MG/0.8 ML,00597037597,3204.67,2025-07-23,Cyltezo (Boehringer)
HADLIMA PUSHTOUCH 40 MG/0.8 ML,78206018401,630.5475,2025-07-23,Hadlima (Organon)
